road_point_idx,road_idx,latitude,longitude,road_address,road_type
1,1,37.55737548,126.603468,인천광역시 서구 오류동 1579-8,start
2,2,37.51096702,126.9985962,서울특별시 한강로 한강 세빛섬,start
3,3,37.54681269,127.2414184,경기도 남양주시 와부읍 팔당리 401,start
4,4,36.497823,128.265997,경상북도 상주시 사벌궁면 매호리 255-14,start
5,5,36.563272,128.743158,경상북도 안동시 법흥동 265-7,start
6,6,36.474426,127.481963,대전광역시 대덕구 미호동 1-5,start
7,7,35.371319,127.018144,전라남도 담양군 금성면 대성리 977-4,start
8,8,37.55253017,127.3119868,경기도 남양주시 조안면 진중리 367-35,start
9,9,35.52198177,127.1496234,전라북도 임실군 망월리,start
10,10,36.76774741,128.0031287,충청북도 괴산군 연풍면 행촌리 309-5,start
11,11,38.586561,128.375504,강원도 고성군 현내면 통일전망대로 457,start
12,12,36.268797,129.375692,경상북도 영덕군 남정면 북경길 8-5,start
13,13,33.50362,126.493125,제주특별자치도 제주시 용담2동 1945-14,start
14,14,37.8576633,128.8528662,강원도 강릉시 영옥면 동덕리 144-22,start
15,15,38.1214547,127.761168,강원도 화천군 화천읍 대이리 6-3,start
16,16,37.2266492,126.1560385,인천광역시 옹진군 덕적면 질리 86-3,start
17,17,37.8900014,126.7396475,경기도 파주시 문산읍 임진각로 177,start
18,18,36.3770943,127.6350999,충청북도 옥천군 안내면 장계리 산7-2,start
19,19,35.6804817,126.861341,전라북도 정읍시 이평면 하송리 659-3,start
20,20,34.9647627,126.1375188,전라남도 신안군 증도면 우전리 산30-1,start
21,21,35.7871496,129.3256012,경상북도 경주시 진현동 622-3,start
22,22,33.5565233,126.7601855,제주특별자치도 제주시 구좌읍 해맞이해안로,start
23,23,37.7686781,126.2956039,인천광역시 강화군 교동면 읍내리 391,start
24,24,37.51399376,126.4394227,인천광역시 옹진군 북도면 신도리 산331-3,start
25,25,35.81860208,126.4771906,전라북도 군산시 옥도면 신시도리 274,start
26,26,34.53756838,127.7095656,전라남도 여수시 남면 유송리 1307-2,start
27,27,34.52388505,127.1440907,전라남도 고흥군 도양읍 봉암리 3885-2,start
28,28,34.31555201,126.7423505,전라남도 완도군 완도읍 군내리 1256-5,start
29,29,34.18123234,126.854516,전라남도 완도군 청산면 도청리 930-19,start
30,30,34.31226609,126.9629973,전라남도 완도군 생일면 금곡리 산176-1,start
31,31,34.52378334,126.2156791,전라남도 진도군 진도읍 수유리 1067-3,start
32,32,34.84848796,126.2276619,전라남도 신안군 압해읍 입해로 1846,start
33,33,35.015132,126.1599849,전라남도 신안군 증도면 증도리 23-1,start
34,34,35.08148923,126.1215062,전라남도 신안군 임자면 임자로 2,start
35,35,34.85735194,126.0668124,전라남도 신안군 자은면 유각리 53-27,start
36,36,34.68353287,125.442935,전라남도 신안군 흑산면 예리 353-95,start
37,37,37.48164116,130.9093943,울릉도,start
38,38,34.9036757,128.0741064,경상남도 사천시 신수동 227-3,start
39,39,34.94631608,127.8723502,경상남도 하동군 남해읍 노량리 521-4,start
40,40,33.55647028,126.7583369,제주특별자치도 제주시 구좌읍 해맞이해안로 1195-3,start
41,41,33.46874212,126.9233322,제주특별자치도 서귀포시 성산읍 오조리 2-4,start
42,42,33.20878561,126.291482,제주특별자치도 서귀포시 대정읍 상모리 126-1,start
43,1,37.59867711,126.8001093,서울특별시 강서구 가회동 31-4,end
44,2,37.51096702,126.9985962,서울특별시 한강 세빛섬,end
45,3,37.27822648,127.6863537,경기도 여주시 강천면 가야리 산5-7,end
46,4,36.989407,127.903349,충청북도 청주시 칠금동 산1-29,end
47,5,35.108778,128.947979,부산광역시 사하구 2/1/1150,end
48,6,36.020617,126.764559,전라북도 군산시 성덕리 421-7,end
49,7,34.80186,126.445627,전라남도 목포시 옥암동 1376,end
50,8,37.8848277,127.7159937,강원도 춘천시 근화동 561-3,end
51,9,34.959866,127.761547,전라남도 광양시 태인동 1631-4,end
52,10,36.80704971,127.7981093,충청북도 괴산군 동부리 751-93,end
53,11,37.8043234,128.9066538,강원도 강릉시 안현동 산2-15,end
54,12,37.110596,129.373567,경상북도 울진군 북면 낙옥리 104-2,end
55,13,33.501565,126.466549,제주특별자치도 제주 시 도두1동 2426-7,end
56,14,37.7997314,128.9114166,강원도 강릉시 경포호습지생태공원,end
57,15,38.0991212,127.7083793,강원도 화천군 하나미면 와라리 509-16,end
58,16,37.2140674,126.1110474,인천광역시 옹진군 덕적면 서포리 95-1,end
59,17,37.9130717,126.7336878,경기도 파주시 군내면 배연리 176-12,end
60,18,36.3719106,127.6333964,충청북도 옥천군 안내면 장계리 210-1,end
61,19,35.4987571,126.9185126,전라북도 정읍시 내장동 87-3,end
62,20,34.9711416,126.1395031,전라남도 신안군 증도면 우전리 산2-10,end
63,21,35.8449039,129.1938135,경상북도 경주시 청효동 산7-34,end
64,22,33.4687574,126.9215521,제주특별자치도 서귀포시 성산읍 오조리 6-3,end
65,23,37.66636834,126.3514396,인천광역시 강화군 삼산면 매음리 252-7,end
66,24,37.52905579,126.4062945,인천광역시 옹진군 북도면 모도로 140번길 41,end
67,25,35.82642786,126.4164725,전라북도 군산시 옥도면 선유리 474-1,end
68,26,34.49037784,127.8126823,전라남도 여수시 남면 안도해수욕장길 106,end
69,27,34.44710922,127.1171885,전라남도 고흥군 금산면 외전리 1236-3,end
70,28,34.35914858,126.6667334,전라남도 완도군 군외면 대문리 12-19,end
71,29,34.1877515,126.9209283,전라남도 완도군 청산면 동촌리 188-1,end
72,30,34.30970654,126.9900072,전라남도 완도군 생일면 봉선리 353-1,end
73,31,34.50529823,126.2003509,전라남도 진도군 진도읍 산월리 631-22,end
74,32,34.83343563,126.3502517,전라남도 신안군 신안군의회,end
75,33,34.95833407,126.1605988,전라남도 신안군 증도면 화도길 212,end
76,34,35.13841527,126.1441071,전라남도 신안군 임자면 전장포길 915,end
77,35,34.84044191,126.1196703,전라남도 신안군 암태면 송곡리 1065,end
78,36,34.68393208,125.4428557,전라남도 신안군 흑산면 예리 176-92,end
79,37,37.49236255,130.9102299,경상북도 울릉군 저동,end
80,38,34.90985527,128.0749944,경상남도 사천시 신수서길 208,end
81,39,34.84643554,127.9143712,경상남도 남해군 남해읍 선소리 33-47,end
82,40,33.54033495,126.8310772,제주특별자치도 제주 시 구좌읍 한동리 1293,end
83,41,33.45818223,126.928882,제주특별자치도 서귀포시 성산읍 성산리 399-102,end
